datum,niveau,schepcorner_id,ploegnaam,ervaring_schepper,ervaring_kopper,ervaring_duo,is_thuisploeg,kwart,is_schepper_bank,is_kopper_bank,schepper_pos_rechts,positie,kop_verplaatsen_achter,kop_veel_verplaatsen,kop_hor_verplaatsen,goal,klassement_thuis,klassement_uit,uitslag_thuis,uitslag_uit,score_voor_thuis,score_voor_uit,klassement,klassement_veschil,is_degradatieplaats,is_promotieplaats,score_verschil_voor,periode,schepcorner_nummer,goal_lag_ploeg,goal_lag_wedstrijd
2024-08-29,kern_laag,63,mvc de hoeve,4.0,3.0,4.0,1,3,0,0,1,2,1,0,0,0,,,5,14,3,10,,,0,0,7,1,2,0.6616915422885572,1.0
2024-08-29,kern_laag,64,team teheran,3.0,3.0,3.0,0,3,0,0,0,5,1,0,0,0,,,2,2,2,2,,,0,0,0,1,1,0.6616915422885572,0.6616915422885572
2024-08-29,kern_laag,65,celtic towers,4.0,5.0,1.0,1,2,0,1,1,4,0,0,0,1,,,5,0,0,0,,,0,0,0,1,1,0.6616915422885572,0.6616915422885572
2024-08-29,kern_laag,66,celtic towers,4.0,5.0,1.0,1,3,0,0,1,2,0,0,0,1,,,5,0,3,0,,,0,0,3,1,2,1.0,1.0
2024-08-29,kern_laag,67,sporting sekowa,3.6436781609195403,3.7126436781609193,3.3777777777777778,0,3,0,1,1,5,0,0,0,1,,,6,4,3,1,,,0,0,2,1,1,0.6616915422885572,0.6616915422885572
2024-08-29,kern_laag,68,ojoo,4.0,4.0,5.0,0,4,0,0,0,6,0,0,0,1,,,4,4,4,3,,,0,0,1,1,1,0.6616915422885572,0.6616915422885572
2024-08-29,kern_laag,69,fc zatletico,5.0,5.0,5.0,0,4,0,1,1,2,0,0,0,1,,,3,3,1,1,,,0,0,0,1,1,0.6616915422885572,0.6616915422885572
2024-08-29,kern_laag,70,vma,5.0,5.0,5.0,1,4,0,0,1,2,0,0,0,1,,,3,3,2,3,,,0,0,1,1,2,0.6616915422885572,1.0
2024-08-28,kern_hoog,71,mvc muggi,4.0,4.0,4.0,0,2,0,0,1,5,0,0,0,1,,,4,9,1,3,,,0,0,2,1,1,0.6616915422885572,0.6616915422885572
2024-08-28,kern_hoog,72,los galaticos,4.0,4.0,4.0,1,3,1,0,1,5,0,0,0,1,,,4,9,2,4,,,0,0,2,1,2,0.6616915422885572,1.0
2024-08-28,kern_hoog,73,mvc muggi,4.0,4.0,4.0,0,3,0,0,1,5,0,0,0,1,,,4,9,3,4,,,0,0,1,1,3,1.0,1.0
2024-08-28,kern_hoog,74,los galaticos,4.0,4.0,4.0,1,4,0,0,1,5,0,0,0,1,,,4,9,3,5,,,0,0,2,1,4,1.0,1.0
2024-08-28,kern_hoog,75,mvc muggi,4.0,4.0,4.0,0,4,1,0,1,5,0,0,0,1,,,4,9,4,8,,,0,0,4,1,5,1.0,1.0
2025-04-02,kern_laag,76,fc spitbulls,3.0,3.0,3.0,0,2,0,0,0,2,0,0,0,1,3,4,6,4,1,0,4.0,1,0,0,1,4,1,0.0,0.6616915422885572
2025-04-02,kern_laag,77,mvc pio,4.0,4.0,4.0,1,3,1,0,0,5,0,0,0,1,3,4,6,4,2,1,3.0,1,0,1,1,4,2,0.6616915422885572,1.0
